SUMMARY,Exact_Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Source_File
,,Sales,Var (to Prev Wk),Target,Var (to Target),11_jan_2026.xlsx
Fuel - ex KeyFuels (ltrs),,83232,22743,93323,-10091,11_jan_2026.xlsx
Fuel - Keyfuels only (ltrs),,23095,13542,5262,17833,11_jan_2026.xlsx
Shop (œ),,11439,2103,13965,-2526,11_jan_2026.xlsx
Wash (œ),,1019,-497,1515,-496,11_jan_2026.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),15_feb_2026.xlsx
Fuel - ex KeyFuels (ltrs),,88639,692,93323,-4684,15_feb_2026.xlsx
Fuel - Keyfuels only (ltrs),,23354,-48,5262,18092,15_feb_2026.xlsx
Shop (œ),,12704,757,13965,-1261,15_feb_2026.xlsx
Wash (œ),,1221,60,1515,-294,15_feb_2026.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),15_march_2026.xlsx
Fuel - ex KeyFuels (ltrs),,81617,-18023,93323,-11706,15_march_2026.xlsx
Fuel - Keyfuels only (ltrs),,21430,-1182,5262,16168,15_march_2026.xlsx
Shop (œ),,12015,24,13965,-1950,15_march_2026.xlsx
Wash (œ),,1655,-233,1515,140,15_march_2026.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),16_nov_2025.xlsx
Fuel - ex KeyFuels (ltrs),,93533,2303,93323,210,16_nov_2025.xlsx
Fuel - Keyfuels only (ltrs),,23393,-203,5262,18131,16_nov_2025.xlsx
Shop (œ),,11713,-1181,13965,-2252,16_nov_2025.xlsx
Wash (œ),,792,-409,1515,-723,16_nov_2025.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),17_dec_2025.xlsx
Fuel - ex KeyFuels (ltrs),,93928,-1742,93323,605,17_dec_2025.xlsx
Fuel - Keyfuels only (ltrs),,24926,1742,5262,19664,17_dec_2025.xlsx
Shop (œ),,13155,139,13965,-810,17_dec_2025.xlsx
Wash (œ),,1290,149,1515,-225,17_dec_2025.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),18_jan_2026.xlsx
Fuel - ex KeyFuels (ltrs),,85044,1812,93323,-8279,18_jan_2026.xlsx
Fuel - Keyfuels only (ltrs),,26244,3149,5262,20982,18_jan_2026.xlsx
Shop (œ),,11618,179,13965,-2347,18_jan_2026.xlsx
Wash (œ),,1226,207,1515,-289,18_jan_2026.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),1_feb_2026.xlsx
Fuel - ex KeyFuels (ltrs),,91162,6615,93323,-2161,1_feb_2026.xlsx
Fuel - Keyfuels only (ltrs),,22429,-692,5262,17167,1_feb_2026.xlsx
Shop (œ),,13438,1711,13965,-527,1_feb_2026.xlsx
Wash (œ),,1399,-59,1515,-116,1_feb_2026.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),1_march_2026.xlsx
Fuel - ex KeyFuels (ltrs),,91405,2964,93323,-1918,1_march_2026.xlsx
Fuel - Keyfuels only (ltrs),,22828,651,5262,17566,1_march_2026.xlsx
Shop (œ),,13231,1186,13965,-734,1_march_2026.xlsx
Wash (œ),,1845,190,1515,330,1_march_2026.xlsx
,,Sales,Var (to Prev Wk),Target,Var (to Target),21_dec_2025.xlsx
Fuel - ex KeyFuels (ltrs),,92579,-1348,93323,-744,21_dec_2025.xlsx
